         186621 function calls (186545 primitive calls) in 0.258 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      366    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/_config.py:27(_get_threadlocal_config)
       48    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:41(_wrapit)
        6    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/numeric.py:2243(allclose)
        4    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/threadpoolctl.py:870(limit)
        3    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/externals/array_api_compat/common/_aliases.py:199(_unique_kwargs)
        2    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/arrayprint.py:828(_formatArray)
     48/2    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/arrayprint.py:837(recurser)
        4    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/threadpoolctl.py:581(__init__)
        3    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/validation.py:1392(_check_y)
        1    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2018(nonzero)
       47    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
       64    0.000    0.000    0.000    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/inspect.py:2722(__init__)
       12    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/joblib/parallel.py:927(effective_n_jobs)
        1    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       49    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/_methods.py:76(_count_reduce_items)
        9    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:415(average)
        3    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2879(cumsum)
